"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 05, 2012","2.770","2.841","3.120","2.760","941.11K","-3.72%"
"Jul 29, 2012","2.877","3.030","3.277","2.840","828.02K","-4.42%"
"Jul 22, 2012","3.010","3.083","3.196","2.990","429.79K","-2.30%"
"Jul 15, 2012","3.081","2.875","3.096","2.720","739.28K","7.20%"
"Jul 08, 2012","2.874","2.781","2.920","2.718","691.62K","3.53%"
"Jul 01, 2012","2.776","2.804","3.060","2.742","519.35K","-1.70%"
"Jun 24, 2012","2.824","2.660","2.946","2.644","525.77K","7.58%"
"Jun 17, 2012","2.625","2.467","2.679","2.459","799.28K","6.40%"
"Jun 10, 2012","2.467","2.262","2.557","2.168","864.62K","7.31%"
"Jun 03, 2012","2.299","2.330","2.487","2.231","757.88K","-1.16%"
"May 27, 2012","2.326","2.547","2.560","2.313","511.92K","-9.42%"
"May 20, 2012","2.568","2.722","2.750","2.523","676.18K","-6.35%"
"May 13, 2012","2.742","2.493","2.759","2.387","760.34K","9.29%"
"May 06, 2012","2.509","2.277","2.531","2.273","756.38K","10.09%"
"Apr 29, 2012","2.279","2.190","2.385","2.150","777.17K","4.25%"
"Apr 22, 2012","2.186","1.937","2.198","1.921","405.69K","13.44%"
"Apr 15, 2012","1.927","1.986","2.030","1.902","556.26K","-2.73%"
"Apr 08, 2012","1.981","2.103","2.126","1.959","819.89K","-5.17%"
"Apr 01, 2012","2.089","2.122","2.204","2.069","506.05K","-1.74%"
"Mar 25, 2012","2.126","2.286","2.318","2.101","439.74K","-6.55%"
"Mar 18, 2012","2.275","2.322","2.393","2.250","582.73K","-2.19%"
"Mar 11, 2012","2.326","2.272","2.362","2.204","624.78K","0.09%"
"Mar 04, 2012","2.324","2.401","2.441","2.235","567.45K","-6.44%"
"Feb 26, 2012","2.484","2.523","2.625","2.436","546.17K","-2.59%"
"Feb 19, 2012","2.550","2.659","2.695","2.512","447.81K","-4.99%"
"Feb 12, 2012","2.684","2.448","2.733","2.395","926.17K","8.36%"
"Feb 05, 2012","2.477","2.503","2.618","2.390","966.45K","-0.88%"
"Jan 29, 2012","2.499","2.810","2.844","2.340","970.96K","-6.68%"
"Jan 22, 2012","2.678","2.270","2.803","2.231","921.34K","14.30%"
"Jan 15, 2012","2.343","2.569","2.587","2.283","620.01K","-12.25%"
"Jan 08, 2012","2.670","3.011","3.045","2.621","686.18K","-12.80%"
